,prdtypecode
4606,10
4642,10
4663,10
4714,10
4786,10
4797,10
4812,10
4835,10
4923,10
4936,10
4939,10
4945,10
4950,10
4984,10
4989,10
5034,10
5043,10
5068,10
5081,10
5083,10
5085,10
5099,10
5113,10
5130,10
5138,10
5168,10
5196,10
5210,10
5255,10
5258,10
5334,10
5354,10
5355,10
5356,10
5375,10
5386,10
5398,10
5407,10
5408,10
5411,10
5422,10
5434,10
5450,10
5452,10
5462,10
5465,10
5491,10
5598,10
5608,10
5620,10
5651,10
5655,10
5678,10
5695,10
5749,10
5753,10
5805,10
5864,10
5914,10
5927,10
5997,10
6020,10
6113,10
6121,10
6136,10
6174,10
6197,10
6205,10
6215,10
6232,10
6252,10
6273,10
6296,10
6305,10
6331,10
6340,10
6355,10
6362,10
6367,10
6421,10
6433,10
6499,10
6532,10
6554,10
6572,10
6589,10
6602,10
6632,10
6640,10
6672,10
6696,10
6702,10
6707,10
6742,10
6746,10
6757,10
6773,10
6787,10
6857,10
6869,10
6925,10
6950,10
6961,10
6973,10
6984,10
7012,10
7034,10
7035,10
7044,10
7069,10
7119,10
7120,10
7121,10
7125,10
7179,10
7185,10
7226,10
7230,10
7239,10
7245,10
7261,10
7320,10
7323,10
7341,10
7349,10
7355,10
7377,10
7378,10
7382,10
7424,10
7451,10
7475,10
7496,10
7519,10
7545,10
7548,10
7572,10
7604,10
7608,10
7609,10
7614,10
7625,10
7632,10
7633,10
7670,10
7684,10
7693,10
7696,10
7724,10
7726,10
7782,10
7840,10
7858,10
7880,10
7900,10
7901,10
7931,10
7937,10
7952,10
7968,10
7977,10
7986,10
8028,10
8057,10
8118,10
8141,10
8147,10
8163,10
8187,10
8198,10
8229,10
8238,10
8258,10
8334,10
8341,10
8362,10
8377,10
8450,10
8465,10
8522,10
8535,10
8564,10
8578,10
8584,10
8643,10
8672,10
8687,10
8727,10
8739,10
8758,10
8778,10
8792,10
8822,10
8855,10
8906,10
8909,10
8922,10
8927,10
8956,10
9025,10
9035,10
9068,10
9138,10
9174,10
9212,10
9223,10
9239,10
9288,10
9315,10
9325,10
9367,10
9372,10
9427,10
9433,10
9441,10
9494,10
9501,10
9518,10
9551,10
9562,10
9658,10
9696,10
9712,10
9726,10
9738,10
9788,10
9851,10
9873,10
9895,10
9950,10
10096,10
10124,10
10136,10
10150,10
10214,10
10320,10
10334,10
10353,10
10381,10
10401,10
10466,10
10538,10
10620,10
10643,10
10736,10
10747,10
10775,10
10836,10
10855,10
10857,10
10948,10
10962,10
10983,10
10998,10
11001,10
11039,10
11041,10
11084,10
11089,10
11103,10
11162,10
11174,10
11211,10
11224,10
11262,10
11337,10
11374,10
11378,10
11388,10
11393,10
11494,10
11533,10
11657,10
11663,10
11674,10
11737,10
11759,10
11781,10
11799,10
11829,10
11872,10
11884,10
11910,10
11936,10
11943,10
12054,10
12073,10
12102,10
12114,10
12172,10
12183,10
12184,10
12199,10
12207,10
12261,10
12263,10
12264,10
12277,10
12320,10
12324,10
12331,10
12403,10
12449,10
12455,10
12459,10
12507,10
12511,10
12515,10
12592,10
12601,10
12605,10
12609,10
12718,10
12731,10
12749,10
12811,10
12880,10
12903,10
12917,10
12927,10
12932,10
13040,10
13041,10
13096,10
13104,10
13148,10
13154,10
13169,10
13187,10
13197,10
13262,10
13306,10
13348,10
13351,10
13365,10
13371,10
13413,10
13423,10
13445,10
13463,10
13483,10
13527,10
13532,10
13575,10
13635,10
13637,10
13688,10
13745,10
13748,10
13751,10
13790,10
13793,10
13822,10
13852,10
13892,10
13893,10
13896,10
13936,10
13943,10
13956,10
13977,10
13986,10
13993,10
14025,10
14034,10
14083,10
14119,10
14172,10
14198,10
14265,10
14293,10
14324,10
14347,10
14373,10
14389,10
14458,10
14484,10
14519,10
14540,10
14555,10
14565,10
14569,10
14578,10
14581,10
14603,10
14604,10
14627,10
14663,10
14668,10
14676,10
14709,10
14729,10
14750,10
14780,10
14820,10
14861,10
14946,10
14960,10
14977,10
15000,10
15026,10
15077,10
15086,10
15180,10
15195,10
15218,10
15253,10
15309,10
15367,10
15404,10
15497,10
15517,10
15562,10
15600,10
15653,10
15662,10
15693,10
15718,10
15727,10
15752,10
15788,10
15795,10
15834,10
15838,10
15869,10
15873,10
15884,10
15891,10
15905,10
15951,10
15953,10
15984,10
16014,10
16024,10
16088,10
16091,10
16109,10
16183,10
16223,10
16254,10
16389,10
16392,10
16467,10
16488,10
16503,10
16511,10
16513,10
16537,10
16585,10
16587,10
16591,10
16665,10
16721,10
16733,10
16774,10
16776,10
16779,10
16790,10
16816,10
16851,10
16881,10
16896,10
16926,10
16954,10
16955,10
16974,10
16986,10
17057,10
17087,10
17161,10
17162,10
17222,10
17242,10
17310,10
17362,10
17436,10
17466,10
17651,10
17668,10
17704,10
17718,10
17732,10
17739,10
17786,10
17802,10
17805,10
17862,10
17863,10
17896,10
17967,10
17985,10
18024,10
18040,10
18061,10
18076,10
18099,10
18151,10
18152,10
18164,10
18217,10
18271,10
18323,10
18326,10
18397,10
18430,10
18486,10
18509,10
18514,10
18553,10
18574,10
18603,10
18639,10
18642,10
18643,10
18659,10
18681,10
18710,10
18729,10
18784,10
18837,10
18946,10
18979,10
